ID_CLB;INTITULE_COMPLET;VALEUR;ETAT;STATUT_RECRUTEMENT;DATE_DEBUT_INCLUSION;DATE_FIN_INCLUSION;DATE_DEBUT_ETUDE;DATE_FIN_ETUDE;ROLE_CLB;DETAIL_ROLE_CLB
ET21000161;"SPARTANA: Spartalizumab, mDCF (docetaxel, cisplatine et 5-fluorouracil) et radiothérapie dans le traitement du cancer du canal anal métastatique ";NCT04894370;900;Invalidée;NULL;NULL;NULL;NULL;O;
ET21000169;PARPi-PANC : Etude multicentrique, monobras, de phase II évaluant l’efficacité du niraparib en première ligne de traitement chez les patients présentant un cancer du pancréas métastatique avec un déficit de la recombinaison homologue;NCT05442749;400;Ouverte aux inclusions;NULL;NULL;2022-10-28 00:00:00.000;NULL;O;
ET21000173;SGNTUC-028 HER2CLIMB-05: Étude de phase III randomisée en double aveugle, évaluant le Tucatinib versus placebo en association avec le Trastuzumab et le Pertuzumab dans le traitement d’entretien du cancer du sein métastatique HER2+ (HER2CLIMB-05);NCT05132582;420;Close aux inclusions;NULL;NULL;2021-11-01 00:00:00.000;2023-12-31 00:00:00.000;O;
ET21000174;GS-US-548-5918: A Phase 2, Multi-Arm Study of Magrolimab in Patients with Solid Tumors;NCT04827576;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000175;GS-US-548-5916: Etude de phase II sur l’association de magrolimab chez des patients atteints d’un carcinome épidermoïde de la tête et du cou;NCT04854499;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000178;TORNADO: Randomized phase II study of neoadjuvant chemotherapy plus retifanlimab plus in patients with selected retroperitoneal sarcomas;NCT04968106;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000186;BI 1403-0008 Brightline-1 : Étude de phase II/III, en ouverte, multicentrique et randomisée avec le BI 907828 en comparaison à la doxorubicine dans le traitement de première ligne des patients atteints de liposarcomes dédifférenciés;NCT05218499;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000187;KOMET D134BC00001: Etude de phase III multicentrique, internationale, randomisée, en double aveugle, évaluant l'efficacité et la tolérance du sélumétinib versus placebo chez les patients adultes atteints de neurofibromatose de type 1 (NF1) et présentant des neurofibromes plexiformes symptomatiques et inopérables;NCT04924608;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000195;SPARTO: Spartalizumab and low dose Pazopanib in Refractory and Relapse solid TumOrs in children and young adults : péd et adults;NCT05210413;400;Ouverte aux inclusions;NULL;NULL;2023-01-26 00:00:00.000;NULL;O;
ET21000197;"SPICI  CGUBX 2021/08: Pause thérapeutique après un traitement associant un modulateur de la réponse immunitaire et un anti angiogénique en première ligne chez les patients présentant un cancer du rein métastatique de groupe pronostic favorable ou de groupe pronostic intermédiaire avec un seul critère de mauvais pronostic présentant une réponse objective: une étude randomisée de non-infériorité de phase III ";NCT05219318;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000198;"Cryo_NF1: Evaluation de cryothérapie percutanée en traitement des neurofibromes plexiformes et des neurofibromes non résécables au cours de la NF1 ";NCT05199376;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000199;REALITY-01: Sécurité, effet et qualité de vie de trastuzumab déruxtécan en conditions de vie réelle, chez des patients souffrant de cancer du sein métastatique ou non résécable HER2+ : étude française ambispective multicentrique à 2 ans de suivi;NCT05149014;010;En préparation;NULL;NULL;NULL;NULL;O;
ET21000200;"MELBASE: Constitution et suivi d'une cohorte nationale de patients atteints de mélanome stade III ou stade IV ou primitif inopérable avec collection virtuelle d'échantillons biologiques ";NCT02828202;400;Ouverte aux inclusions;2022-09-23 00:00:00.000;NULL;NULL;NULL;O;
ET21000201;ACCESS: PHASE II STUDY ON TSR-042 IN ADVANCED CLEAR CELLS SARCOMA;NCT04274023;900;Invalidée;NULL;NULL;NULL;NULL;O;
ET21000203;JAVELIN Bladder Medley MS100070-0119 : Étude « parapluie » en ouvert, multicentrique, de phase II, randomisée en groupes parallèles, portant sur l’avélumab (MSB0010718C) en association avec d’autres agents antitumoraux comme traitement d’entretien chez des patients atteints d’un carcinome urothélial localement avancé ou métastatique dont la maladie n’a pas progressé avec une chimiothérapie de première intention à base de platine;NCT05327530;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000206;NANORAY-312: Étude de phase 3 (stade pivot) visant à évaluer le NBTXR3 activé, au choix de l’investigateur, par radiothérapie seule ou par radiothérapie en association avec le cétuximab chez des patients âgés non éligibles à une chimiothérapie à base de platine atteints d’un carcinome épidermoïde de la tête et du cou localement avancé;NCT04892173;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000208;"TAS0612-101 : Etude de phase I portant sur le TAS0612 chez des patients atteints de tumeurs solides localement avancées ou métastatiques ";NCT04586270;900;Invalidée;NULL;NULL;NULL;NULL;O;
ET21000209;CBYL719C2303 EPIKB5: Etude de phase III, randomisée, en double aveugle, contrôlée par placebo, de l'alpelisib en association avec fulvestrant chez des hommes et des femmes ménopausées atteints d'un cancer du sein avancé HR positif, HER2 négatif avec mutation PIK3CA, ayant progressé sous ou après inhibiteur de l'aromatase et inhibiteur de CDK4/6;NCT05038735;400;Ouverte aux inclusions;2022-03-09 00:00:00.000;NULL;2021-12-01 00:00:00.000;2023-11-30 00:00:00.000;O;
ET21000211;FS118-17101 : Étude de phase I/II, en ouvert, réalisée pour la première fois chez l’Homme, visant à évaluer la sécurité d’emploi et l’activité antitumorale de FS118, un anticorps bispécifique anti-LAG-3/anti-PD-L1, chez des patients présentant des tumeurs malignes avancées;NCT03440437;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000213;AB-106-G208 TRUST-II : Étude multicentrique de phase II, en ouvert, à bras unique, visant à évaluer l’efficacité et la sécurité d’emploi du talétrectinib chez des patients atteints d’un CPNPC avancé ou métastatique ROS1 positif et d’autres tumeurs solides;NCT04919811;400;Ouverte aux inclusions;2022-09-29 00:00:00.000;NULL;2022-09-29 00:00:00.000;NULL;O;
ET21000214;INBRX109: Étude de phase II randomisée, en aveugle, contrôlée contre placebo de l’INBRX-109 dans le traitement du chondrosarcome conventionnel non résécable ou métastatique;NCT04950075;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000218;ReLUTH: Étude prospective de phase 2 randomisée évaluant les schémas de retraitement par Lutathera® ([177Lu]Lu-DOTA-TATE) chez les patients présentant une nouvelle progression de leur tumeur neuroendocrine intestinale bien différenciée.;NCT04954820;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;N;
ET21000220;D926PC00001 TROPION BREAST 02: étude de phase 3, randomisée, en ouvert, sur le traitement par datopotamab-déruxtécan (Dato DXd) versus chimiothérapie choisie par l’investigateur chez des patients qui ne sont pas candidats à un traitement par inhibiteur de PD 1/PD L1 I en première ligne pour un cancer du sein localement récidivant inopérable ou métastatique (TROPION-Breast02);NCT05374512;420;Close aux inclusions;2022-09-27 00:00:00.000;NULL;2022-09-16 00:00:00.000;NULL;O;
ET21000221;Protocole AMG20200469  : Étude de phase Ib évaluant la sécurité et l’efficacité du tarlatamab en association avec le carboplatine, l’étoposide et un inhibiteur de PD-L1 dans le traitement de première ligne du cancer du poumon à petites cellules avancé;NCT05361395;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000224;"ACE-Pan tumor-02: Étude internationale de phase 2 visant à évaluer l’efficacité et la sécurité d’emploi de l’ARX788 dans certaines tumeurs solides porteuses d’une mutation de HER2 ou amplifiées/surexprimées par HER2 ";NCT05041972;900;Invalidée;NULL;NULL;NULL;NULL;O;
ET21000226;"64407564MMY3002 MonumenTAL-3:A Phase 3 Randomized Study Comparing Talquetamab in Combination with Daratumumab and Pomalidomide or Talquetamab in combination with Daratumumab versus Daratumumab, Pomalidomide and Dexamethasone (DPd) , in Subjects with Lenalidomide-Refractory Multiple Myeloma who Have Received at Least 2 Prior Lines of Therapy ";NCT05455320;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000228;M20-638 : Une étude de phase 3, multicentrique, randomisée et ouverte sur l'Epcoritamab en association avec le rituximab et le Lénalidomide (R2) comparé au rituximab et au Lénalidomide (R2) seuls;NCT05409066;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000232;DOMENICA: Etude de phase III comparant la chimiothérapie seule versus dostarlimab en première ligne chez les patientes présentant un cancer de l’endomètre avancé ou métastatique, avec une anomalie de réparation de l’ADN (déficit MMR);NCT05201547;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000233;MK6482-022 : MK-6482-022 - Etude de phase III, multicentrique, en double aveugle, randomisée comparant l’efficacité et la sécurité d’emploi du belzutifan (MK-6482) plus pembrolizumab (MK-3475) versus placebo plus pembrolizumab, dans le traitement adjuvant du Carcinome Rénal à Cellules Claires (CRCC) post néphrectomie;NCT05239728;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000238;NIRVANA-1 : Etude randomisée comparant Paclitaxel-Carboplatine suivi d’une maintenance par Niraparib versus Paclitaxel-Carboplatine-Bevacizumab suivi d’une maintenance par Niraparib + Bevacizumab chez des patientes atteintes d’un cancer de l’ovaire avancé, des trompes ou du péritoine après une chirurgie de cytoréduction initiale complète;NCT05183984;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000239;REPARP :Prospective and multicentric study evaluating DNA double-strand breaks (DSBs) REpair factors (POLQ, Shieldin complex and 53BP1) expression as biomarker of PARP inhibitor resistance in patients with deleterious germline mutation in BRCA 1/2 and HER2-negative, metastatic or locally advanced breast cancer.;NCT05378204;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000242;NAVIGATE 20289: Étude panier (« basket study ») de phase 2 portant sur l’inhibiteur de TRK Larotrectinib administré par voie orale chez des patients atteints de tumeurs exprimant le gène de fusion NTRK;NCT02576431;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000244;"LIFE SCREEN pilote : Évaluation d'une intervention sur le mode de vie chez des personnes participant au programme français de dépistage du cancer colorectal ";NCT05273931;600;Terminée;NULL;NULL;NULL;NULL;O;
ET21000245;RIBOLARIS UC-BCG-2105 SOLTI-1911: Ribociclib et endocrinothérapie en traitement néoadjuvant et adjuvant dans le cancer du sein avec statut des récepteurs des oestrogènes positif (ER+) et HER2 négatif (HER2-) à risque clinique élevé;NCT05296746;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000246;"IFCT-2101 MASTERPROTOCOL ALK: Etude de phase II randomisée, ouverte, multicentrique évaluant l’efficacité et la tolérance en 1ère ligne de traitement du brigatinib en combinaison avec carboplatine – pemetrexed ou du brigatinib en monothérapie chez des patients présentant un Cancer Bronchique Non à petites cellules (CBNPC) de stade avancé ALK positif ";NCT05200481;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000248;"20210096 FORTITUDE 101: Étude de phase 3 randomisée, multicentrique, menée en double aveugle, contrôlée par placebo et comparant le bémarituzumab associé à une chimiothérapie à un placebo associé à une chimiothérapie chez des patients atteints d’un cancer gastrique ou d’un cancer de la jonction gastro-œsophagienne (JGO) de stade avancé non traités préalablement et présentant une surexpression de FGFR2b ";NCT05052801;420;Close aux inclusions;NULL;NULL;2022-11-24 00:00:00.000;NULL;O;
ET21000251;CADSCCSX-SCCSXB GSN000400: Étude de preuve de concept de phase II, randomisée, en double aveugle, contrôlée par placebo, visant à évaluer l’efficacité, la sécurité d’emploi et la tolérance de l’inhibiteur NOX1/4 (le sétanaxib), ainsi que ses effets sur les biomarqueurs tumoraux, lorsqu’il est administré avec l’inhibiteur PD-1 (le pembrolizumab) chez des patients atteints d’un carcinome épidermoïde de la tête et du cou (CETC) récidivant ou métastatique;NCT05323656;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000253;FHD-609-C-001 : Étude multicentrique de Phase I, en ouvert, d’escalade de dose et d’extension, visant à évaluer la sécurité, la tolérance, la pharmacocinétique, la pharmacodynamique et l’activité clinique du FHD-609 administré par voie intraveineuse à des patients atteints d’un sarcome synovial avancé;NCT04965753;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000255;THEMIS : THérapies ciblées dans la leucémie lymphoïde chronique et Evaluation Médico-économique d’un programme Infirmier de Suivi : une étude prospective randomisée multicentrique;NCT05350826;010;En préparation;NULL;NULL;NULL;NULL;O;
ET21000256;BI-1403-0002: Une étude de phase Ia/Ib, en ouvert, à escalade de dose, de l'association du BI 907828 avec le BI 754091 (ezabenlimab) et le BI 754111 et de l'association du BI 907828 avec le BI 754091 (ezabenlimab) suivie de cohortes d'expansion, chez des patients atteints de tumeurs solides avancées.;NCT03156114;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000265;IMGN853-0419 PICCOLO-419: Étude de phase II, à bras unique, portant sur le mirvétuximab soravtansine dans le cancer épithélial de l’ovaire de haut grade, récidivant et sensible au platine, le cancer péritonéal primitif ou le cancer des trompes de Fallope présentant une expression élevée du récepteur alpha des folates;NCT05041257;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000266;CA224-069-RELA-069 : A Phase 1/2 Study of the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of Relatlimab Plus Nivolumab in Pediatric and Young Adult Participants with Recurrent or Refractory Classical Hodgkin Lymphoma and Non-Hodgkin Lymphoma;NCT05255601;010;En préparation;NULL;NULL;NULL;NULL;O;
ET21000273;"GO SOAR1 : Détermination de la morbidité et mortalité post-opératoire après chirurgie de cancer gynécologique : étude de cohorte multicentrique, internationale, prospective ";NCT04579861;010;En préparation;NULL;NULL;NULL;NULL;O;
ET21000277;Metro-Wilms-1906: Etude de phase II évaluant la chimiothérapie métronomique chez des patients avec une tumeur WILMS réfractaire;NCT05384821;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000278;EFC15951  IRAKLIA: Étude de phase 3, randomisée, en ouvert, évaluant l’administration sous-cutanée par rapport à l’administration intraveineuse de l’isatuximab en association avec le pomalidomide et la dexaméthasone chez des  patients adultes atteints d’un myélome multiple en rechute et/ou réfractaire (MMRR);NCT05405166;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000279;MK7684A-007: Etude de phase 3, randomisée, en double aveugle, évaluant le MK-7684A, coformulation Vibostolimab + Pembrolizumab, avec chimiothérapie versus Pembrolizumab avec chimiothérapie en première ligne de traitement chez les patients atteints de cancer du poumon non à petites cellules métastatique;NCT05226598;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000286;"TROPION Pan Tumour 03 (D926UC00001): a Phase II, Multicenter, Open-label Study to Evaluate the Efficacy and Safety of Datopotamab Deruxtecan (Dato-DXd) as Monotherapy and in Combination with Anti-cancer Agents in Patients with Advanced Solid Tumors ";NCT05489211;010;En préparation;NULL;NULL;NULL;NULL;O;
ET21000287;caboPOLARIS: Etude de phase 2 prospective multicentrique en ouvert pour évaluer la durée de traitement par cabozantinib chez les patients atteints de carcinome rénal métastatique ou localement avancé en hémodialyse (HD);NCT05241561;010;En préparation;NULL;NULL;NULL;NULL;O;
ET21000291;"CAMIL: ADN  tumoral Circulant dans les Lymphomes B primitifs du Médiastin ";NCT04824950;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000296;Immunonet: A multicenter, open-label, proof of concept phase II aiming to assess the clinical and biological activity of anti-netrin1 (NP137) in combination with the standard immunotherapies in locally advanced / metastatic solid tumors;NCT05605496;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000300;"20210098 FORTITUDE 102: Étude de phase Ib/III portant sur le bémarituzumab plus chimiothérapie et nivolumab par rapport à la chimiothérapie et au nivolumab en monothérapie chez des patients atteints d’un cancer gastrique et de la jonction gastro-oesophagienne de stade avancé non préalablement traités et présentant une surexpression de FGFR2b ";NCT05111626;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000304;KN-8701 : Étude multicentrique de phase I/Ib en ouvert, en deux parties, visant à évaluer la sécurité, la tolérance, la pharmacocinétique et l’activité antitumorale du KIN-2787 chez des patients atteints d’une tumeur solide exprimant une mutation BRAF;NCT04913285;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000305;NIPIRESCUE G-113: Nivolumab et ipilimumab chez les patients atteints d'un cancer colorectal métastatique dMMR et/ou MSI résistant aux anti-PD1 en monothérapie : étude ouverte de phase II;NCT05310643;400;Ouverte aux inclusions;NULL;NULL;2022-07-18 00:00:00.000;NULL;O;
ET21000315;BT8009-100 : Étude de phase I/II évaluant la sécurité, la pharmacocinétique et l’activité clinique préliminaire du BT8009 chez des patients atteints de tumeurs avancées exprimant la nectine-4;NCT04561362;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000317;"1412-0001 : A first-in-human phase Ia/b, open label, multicenter, dose escalation study of BI 905711 in patients with advanced gastrointestinal cancers ";NCT04137289;420;Close aux inclusions;NULL;2022-12-16 00:00:00.000;NULL;NULL;O;
ET21000319;CO43613: MORPHEUS ORL: Étude parapluie de phase Ib/II, en ouvert, multicentrique et randomisée, visant à évaluer l’efficacité et la sécurité d’emploi de plusieurs traitements d’association chez des patients atteints d’un carcinome épidermoïde localement avancé de la tête et du cou (Morpheus - Head and Neck cancer);NCT05459129;600;Terminée;NULL;NULL;NULL;NULL;O;
ET21000322;"OBSTINATE GFPC 06-2019 :  Etude prospective observationnelle, nationale et multicentrique, de qualité de vie chez des patients atteints de cancer bronchopulmonaire non-à-petites cellules de stade III non résécable.    ";NCT05049044;420;Close aux inclusions;2022-01-20 00:00:00.000;NULL;2022-01-20 00:00:00.000;NULL;O;
ET21000325;ROSY-D D4191C00137 PXL 267265: suite STRONG DURVA : Étude de transition destinée aux patients ayant terminé une précédente étude en oncologie portant sur le durvalumab et pour qui, de l’avis de l’investigateur, la poursuite du traitement peut apporter un bénéfice clinique;NCT05303532;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000326;DUNE : Etude observationnelle en vie réelle de la prise en charge des douleurs cancéreuses par la méthadone (Zoryon®) chez des patients inadéquatement soulagés par d’autres opioïdes de palier 3.;NCT05265442;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000330;HORNEO 01: Impact de l’HORmonothérapie NEOadjuvante sur la prise en charge chirurgicale des carcinomes canalaires in Situ étendus;NCT04666961;420;Close aux inclusions;2022-06-29 00:00:00.000;NULL;NULL;NULL;O;
ET21000339;"LESS: Étude à un seul bras de la désescalade de la durée d’hormonothérapie adjuvante chez des femmes présentant un cancer du sein HR+ HER2- à très faible risque de métastase ";NCT05297617;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000340;"W00180IV101 : First-In-Human (FIH) Study of W0180 as Single Agent and in Combination With Pembrolizumab in Adults With Locally Advanced or Metastatic Solid Tumors. ";NCT04564417;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000342;TNG908-C101 : A phaseI/II, multi-center, open-label study to evaluate the safety, tolerability, and preliminary antitumor activity of TNG908 in patients with MTAP-deleted advanced or metastatic solid tumors;NCT05275478;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000343;TIBIOP-LMC: Les lymphocytes T innés comme Biomarqueur Prédictif du succès d’arrêt de traitement dans la leucémie myéloïde chronique;NCT04645706;400;Ouverte aux inclusions;2022-02-16 00:00:00.000;NULL;2022-02-16 00:00:00.000;NULL;O;
ET21000347;R2810-ONC-1788 C-POST: Étude randomisée, contrôlée par placebo, en double aveugle, visant à évaluer le cemiplimab en traitement adjuvant contre un placebo après une intervention chirurgicale et une radiothérapie chez des patients atteints de carcinome épidermoïde cutané à haut risque;NCT03969004;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000351;"CA224-123 RELATIVITY-123: Étude de phase 3, randomisée, en ouvert (promoteur en aveugle) portant sur l’association à dose fixe (ADF) rélatlimab-nivolumab versus régorafénib ou trifluridine + tipiracil (TAS-102) en ligne tardive chez des participants atteints d’un cancer colorectal métastatique ";NCT05328908;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000352;"CJDQ443E12101 (KONTRAST 03) : A Phase Ib/II, multicenter, open-label dose escalation and expansion platform study of JDQ443 with select combinations in patients with advanced solid tumor harboring the KRAS G12C mutation   ";NTC05358249;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000354;"R3767-ONC-2011 : Etude de phase III visant &#65533;  évaluer le fianlimab (REGN3767, anti- LAG-3) + cémiplimab par rapport au pembrolizumab chez des patients atteints d’un mélanome localement avancé ou métastatique non résécable, antérieurement non traité";NCT05352672;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000355;"Stellar002 XL092-002 : Étude d’augmentation de dose et d’expansion évaluant la sécurité d’emploi et l’efficacité du XL092 en association avec des agents immunooncologiques chez des patients atteints de tumeurs solides avancées ou métastatiques non résécables ";NCT05176483;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000357;"GS-US-592-6173 ASCENT-04 : Étude de phase III randomisée, menée en ouvert, visant à  comparer l’association du sacituzumab govitécan et du pembrolizumab à  l’association du traitement de choix du médecin et du pembrolizumab chez des patients atteints d’un cancer du sein triple négatif non préalablement traité, localement avancé, inopérable ou métastatique, dont les tumeurs expriment PD-L1 ";NCT05382286;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000361;GS-US-587-6156: A Phase 2, Randomized, Open-Label Study Evaluating the Safety and Efficacy of Magrolimab in Combination With Bevacizumab and FOLFIRI Versus Bevacizumab and FOLFIRI in Previously Treated Advanced Inoperable Metastatic Colorectal Cancer (CRC);NCT05330429;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000362;"CYCLONE 3 - I3Y-MC-JPEG : A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study of Abiraterone plus Prednisone with or without Abemaciclib in Patients with High-Risk Metastatic Hormone-Sensitive Prostate Cancer ";NCT05288166;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000363;"CAAA802A12101 SatisfACtion : Etude de phase I/II, multicentrique, en ouvert, évaluant le traitement par [225Ac]Ac-PSMA-R2 chez des patients de sexe masculin atteints de cancer de la prostate métastatique résistant à la castration (CPRCm) positif pour le PSMA et lourdement pré-traité avec ou sans radioligand marqué au 177Lu ciblant le PSMA ";NCT05983198;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000365;CyPep-1 CYP003 CATALYST: A Phase 2 Open-Label, Multi-Center Study of CyPep-1 in Combination With Pembrolizumab to Evaluate the Efficacy and Safety of Intra-Tumoral CyPep-1 in Patient With Inoperable, Advanced, or Metastatic Head and Neck Squamous Cell Carcinoma (HNSCC), Melanoma, or Triple-Negative Breast Cancer (TNBC);NCT05383170;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000368;IFCT-2104 CapmATU: Cohorte de patients porteurs d’un cancer bronchique non à petites cellules avec une altération de MET et traité par capmatinib (ATU);NCT05154344;010;En préparation;NULL;NULL;NULL;NULL;O;
ET21000372;AsiDNA Children: Etude de phase Ib/II sur l'association d'AsiDNA avec la ré-irradiation dans les gliomes de haut grade chez les enfants, adolescents et jeunes adultes;NCT05394558;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000378;NVL-655-01 : A Phase 1/2 Study of the Selective Anaplastic Lymphoma Kinase (ALK)  Inhibitor NVL-655 in Patients with Advanced NSCLC and Other Solid  Tumors (ALKOVE-1);" NCT04561362";400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000381;"ISIdE: Essai ouvert multicentrique et à bras unique de phase IIIB visant à évaluer la sécurité et l’efficacité du sacituzumab govitécan chez les patients présentant un cancer du sein triple négatif métastatique avec une analyse détaillée des biomarqueurs ";NCT05552001;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000382;CGT9486-21-301(PEAK) : A PHASE 3 RANDOMIZED, OPEN-LABEL, MULTICENTER CLINICAL STUDY OF CGT9486+SUNITINIB VS SUNITINIB IN SUBJECTS WITH LOCALLY ADVANCED, UNRESECTABLE, OR METASTATIC GASTROINTESTINAL STROMAL TUMORS;NCT05208047;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000383;SAFIR 03 PRESCREENING + ARRIBA GMP 15 : Programme de dépistage de l’ADN tumoral circulant chez des patients présentant un cancer de sein métastatique HR+/HER2 négatif pour la détection des patients à haut risque de récidive sous traitement par un inhibiteur CDK4/6, suivi d’une étude randomisée de phase II comparant l'alpélisib au ribociclib, tous deux associés au fulvestrant, chez les patients présentant des mutations PIK3CA ciblables persistantes;NCT05625087;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000385;CODEBREAK IGR : Etude interventionnelle et translationnelle sur le sotorasib chez des patients traités pour un cancer bronchique non à petites cellules localement avancé ou métastatique, avec une mutation KRAS p.G12C”;NCT05631249;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000387;CNA TVES: Chimiothérapie néoadjuvante dans les tumeurs malignes primitives des voies excrétrices supérieures : étude rétrospective multicentrique » CNA dans les TVES;NCT05671042;010;En préparation;NULL;NULL;NULL;NULL;O;
ET21000389;IMPROVED: Mise en place d’une prise en charge complexe péri-opératoire chez les patients âgés atteints d’un cancer digestif : un essai multicentrique, contrôle, randomisé.;NCT04709055;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000392;"PTC596-ONC-008: Etude de phase II/III visant à évaluer l’efficacité et la sécurité d’emploi de l’unesbuline dans le traitement du léiomyosarcome non résécable ou métastatique, récidivant ou réfractaire   ";NCT05269355;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000394;U31402-A-U301: HERTHENA–Lung02: A Phase 3, Randomized, Open-label Study of Patritumab Deruxtecan Versus Platinum-Based Chemotherapy in Metastatic or Locally Advanced Epidermal Growth Factor Receptor-Mutated (EGFRm) Non-Small Cell Lung Cancer (NSCLC) After Failure of EGFR Tyrosine Kinase Inhibitor (TKI) Therapy;NCT05338970;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET21000396;"FOLLOW FILObsLLC: Etude observationnelle française de patients atteints de leucémie lymphoïde chronique ou de lymphome lymphocytique en conditions réelles ";NCT05590702;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000003;"RYZ101-301 PXL 266392 (ACTION-1): « Étude internationale de phase 1b/3, randomisée, contrôlée, en ouvert, comparant le traitement par RYZ101 au traitement standard recommandé chez des patients présentant des tumeurs neuroendocrines gastro-entéro-pancréatiques (TNE-GEP) inopérables, avancées, bien différenciées, exprimant les récepteurs de la somatostatine (RSST+), ayant progressé à la suite d’un traitement antérieur par un analogue radiomarqué de la somatostatine 177Lu (177Lu-ASS) ";NCT05477576;900;Invalidée;NULL;NULL;NULL;NULL;O;
ET22000004;"BO43936 (SKYSCRAPER-10) : Étude de phase II, randomisée en ouvert, évaluant des associations d’inhibiteurs de point de contrôle immunitaire avec l’axitinib chez des patients atteints d’un carcinome à cellules rénales localement avancé non résécable ou métastatique non précédemment traité ";NCT05805501;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET22000008;ETNA: Traitement adjuvant par Pembrolizumab et chimiothérapie ou surveillance dans le cancer du sein précoce triple négatif ayant un score élevé de lymphocytes infiltrant le stroma tumoral (TILs) (Phase II);NCT06078384;005;Pré CREC;NULL;NULL;NULL;NULL;O;
ET22000010;"DS7300-127:  Étude de phase II, multicentrique, randomisée, en ouvert, du DS-7300a - anticorps conjugué ciblant B7-H3, chez des patients atteints d’un cancer bronchique à petites cellules de stade étendu (CBPC-SE) préalablement traité ";NCT05280470;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
